Model Year,Model,Title State/Type,Location,Auction Date,Auctual Cash Value,Actual Cash Value Currency,Repair Cost,Repair Cost Currency,Odometer,Prim Damage,Sec Damage,Price Sold or Highest Bid,Price Sold or Highest Bid Currency
2020,Toyota CAMRY LE,KY BS,KY - LEXINGTON WEST,2020-02-19,25284.0,USD $,,,291 A,Front end,,5600.0,USD $
2020,Toyota COROLLA LE,AZ SC,AZ - PHOENIX,2020-02-17,,,,,13457 A,Front end,Top/roof,4300.0,USD $
2020,Toyota SIENNA LE,SC ST,SC - SPARTANBURG,2020-02-16,32876.0,USD $,,,1271 A,Front end,,8900.0,USD $
2020,Toyota COROLLA SE,FL RB,FL - MIAMI CENTRAL,2020-02-16,21319.0,USD $,,,4337 A,Front end,,9700.0,USD $
2020,Toyota COROLLA LE,NC RD,NC - CHINA GROVE,2020-02-15,,,,,8068 A,Front end,Frame damage,8200.0,USD $
2020,Toyota COROLLA LE,MO JT,CA - HAYWARD,2020-02-13,24880.0,USD $,,,9255 N,Front end,,5300.0,USD $
2020,Toyota COROLLA LE,WA CT,RENTAL VEHICLE SALE,2020-02-12,16997.0,USD $,,,15297 A,Rear end,Side,10500.0,USD $
2020,Toyota COROLLA SE,CA SC,CA - SUN VALLEY,2020-02-12,20981.0,USD $,,,21677 A,Stripped,,8000.0,USD $
2020,Toyota COROLLA LE,MD CT,MD - BALTIMORE,2020-02-11,15425.0,USD $,,,887 A,Front end,Side,4200.0,USD $
2020,Toyota COROLLA SE,CA SC,CA - LOS ANGELES,2020-02-10,26813.0,USD $,,,12819 A,Side,Front end,10700.0,USD $
2020,Toyota COROLLA LE,CA SC,CA - LOS ANGELES,2020-02-10,24837.0,USD $,,,4522 A,Rear end,,13000.0,USD $
2020,Toyota YARIS LE,CA SC,CA - SUN VALLEY,2020-02-06,17450.0,USD $,,,65 A,Front end,Mechanical,3500.0,USD $
2020,Toyota RAV4 XLE,MO JT,FL - ORLANDO SOUTH,2020-02-06,24175.0,USD $,,,0 N,Side,Front end,9800.0,USD $
2020,Toyota COROLLA LE,WA CT,RENTAL VEHICLE SALE,2020-02-05,18353.0,USD $,,,6223 A,Front end,,11000.0,USD $
2020,Toyota COROLLA LE,IN ST,IN - INDIANAPOLIS,2020-02-04,19500.0,USD $,19500.0,USD $,4003 A,Front end,,6900.0,USD $
2020,Toyota COROLLA LE,CA SC,CA - MARTINEZ,2020-02-04,19200.0,USD $,,,359 A,Rear end,,7700.0,USD $
2020,Toyota COROLLA LE,TX SV,TX - FT. WORTH,2020-01-31,19661.0,USD $,,,1847 A,Front end,,9000.0,USD $
2020,Toyota COROLLA LE,FL CT,FL - MIAMI CENTRAL,2020-01-31,21598.0,USD $,,,2794 A,Front end,,9200.0,USD $
2020,Toyota COROLLA LE,SC CT,MA - NORTH BOSTON,2020-01-31,,,,,7674 N,Minor dent/scratches,,12500.0,USD $
2020,Toyota YARIS L,FL RB,FL - TALLAHASSEE,2020-01-30,17514.0,USD $,,,1691 A,Rear end,Front end,3700.0,USD $
2020,Toyota COROLLA LE,CA CQ,CA - HAYWARD,2020-01-30,18767.0,USD $,,,4574 A,Rear end,,9200.0,USD $
2020,Toyota COROLLA LE,TX NX,FL - MIAMI SOUTH,2020-01-29,,,,,8965 A,Front end,Minor dent/scratches,8900.0,USD $
2020,Toyota COROLLA LE,CA SC,CA - LOS ANGELES,2020-01-27,,,,,2354 A,Front end,,6500.0,USD $
2020,Toyota COROLLA LE,FL RB,FL - MIAMI CENTRAL,2020-01-27,18957.0,USD $,,,33 A,Rear end,,10200.0,USD $
2020,Toyota COROLLA LE,MA SP,MA - SOUTH BOSTON,2020-01-27,,,,,5974 A,Rear end,Front end,4000.0,USD $
2020,Toyota COROLLA SE,MO CT,MO - ST. LOUIS,2020-01-26,21770.0,USD $,,,3579 A,Front end,Mechanical,7700.0,USD $
2020,Toyota COROLLA LE,CA SC,CA - SUN VALLEY,2020-01-24,18122.0,USD $,,,1213 A,Front end,Undercarriage,6500.0,USD $
2020,Toyota COROLLA LE,FL RB,FL - MIAMI SOUTH,2020-01-22,,,,,519 A,Front end,Side,8500.0,USD $
2020,Toyota SIENNA XLE,NY FS,LA - NEW ORLEANS,2020-01-22,43788.0,USD $,,,1408 A,Water/flood,Mechanical,19000.0,USD $
2020,Toyota COROLLA LE,CA SC,CA - SO SACRAMENTO,2020-01-20,18791.0,USD $,,,5074 A,Front end,,10000.0,USD $
2020,Toyota COROLLA LE,MO CT,IL - CHICAGO SOUTH,2020-01-17,,,,,8577 A,Front end,,8300.0,USD $
2020,Toyota CAMRY SE,IA CT,MA - NORTH BOSTON,2020-01-15,,,,,6400 A,Side,Minor dent/scratches,16900.0,USD $
2020,Toyota COROLLA LE,PA CT,RENTAL VEHICLE SALE,2020-01-15,18321.0,USD $,,,14493 A,Front end,,9300.0,USD $
2020,Toyota SIENNA LIM,TX SV,TX - LONGVIEW,2020-01-13,37118.0,USD $,25305.0,USD $,1970 A,Front end,Rear end,12200.0,USD $
2020,Toyota SIENNA LIM,TX SV,TX - LONGVIEW,2020-01-13,37118.0,USD $,25305.0,USD $,1970 A,Front end,Rear end,12200.0,USD $
2020,Toyota COROLLA SE,CA SC,CA - SACRAMENTO,2020-01-11,21752.0,USD $,14731.0,USD $,2094 A,Front end,Undercarriage,10500.0,USD $
2020,Toyota COROLLA LE,CA SC,CA - VAN NUYS,2020-01-10,18235.0,USD $,,,9675 A,Rear end,Minor dent/scratches,6600.0,USD $
2020,Toyota COROLLA SE,MO JT,NV - LAS VEGAS,2020-01-09,24330.0,USD $,,,0 N,All over,,2850.0,USD $
2020,Toyota COROLLA LE,NJ CT,RENTAL VEHICLE SALE,2020-01-08,,,,,12509 A,Top/roof,,11300.0,USD $
2020,Toyota COROLLA LE,SD ST,CO - DENVER,2020-01-07,,,,,5216 A,Front end,Undercarriage,5500.0,USD $
2020,Toyota COROLLA LE,MA ST,FL - MIAMI NORTH,2020-01-06,16852.0,USD $,,,7801 A,Front end,Minor dent/scratches,8900.0,USD $
2020,Toyota COROLLA LE,MO SC,RI - EXETER,2020-01-04,17657.0,USD $,,,0 N,Front end,Biohazard/chemical,2750.0,USD $
2020,Toyota COROLLA LE,GA ST,FL - MIAMI NORTH,2020-01-02,18955.0,USD $,,,1964 A,Front end,Rear end,8400.0,USD $
2020,Toyota COROLLA SE,TX SV,TX - HOUSTON,2020-01-01,22258.0,USD $,22711.0,USD $,3482 A,Front end,,5900.0,USD $
2020,Toyota SIENNA LE,CT ST,CT - HARTFORD,2019-12-31,32882.0,USD $,19529.0,USD $,10621 A,Front end,Minor dent/scratches,14400.0,USD $
2020,Toyota COROLLA LE,GA ST,FL - MIAMI SOUTH,2019-12-29,16525.0,USD $,,,1818 A,Front end,Rear end,7800.0,USD $
2020,Toyota COROLLA LE,CA SC,CA - LOS ANGELES,2019-12-28,26807.0,USD $,,,3574 A,Front end,,7700.0,USD $
2020,Toyota COROLLA LE,MO CT,MO - ST. LOUIS,2019-12-27,19250.0,USD $,13811.0,USD $,419 A,Front end,,8300.0,USD $
2020,Toyota COROLLA SE,TX SV,FL - MIAMI SOUTH,2019-12-23,19562.0,USD $,,,139 N,All over,Minor dent/scratches,9500.0,USD $
2020,Toyota COROLLA LE,MD PO,PA - CHAMBERSBURG,2019-12-20,28400.0,USD $,,,1825 N,Front end,Partial repair,7800.0,USD $
2020,Toyota COROLLA LE,TX FV,TX - HOUSTON,2019-12-20,20121.0,USD $,,,0 N,Water/flood,,7900.0,USD $
2020,Toyota COROLLA LE,TX CT,TX - HOUSTON,2019-12-20,21800.0,USD $,,,15532 A,Side,,12800.0,USD $
2020,Toyota COROLLA LE,NV SC,AZ - TUCSON,2019-12-20,17850.0,USD $,,,5050 A,Front end,Frame damage,14000.0,USD $
2020,Toyota COROLLA LE,NY SM,NY - NEWBURGH,2019-12-19,21175.0,USD $,,,0 N,Side,Rear end,8600.0,USD $
